<<<<<<< HEAD
txn_id,user_id,gateway,payment_type,region,device,amount,status,status_encoded,is_fraud,latency_ms,retry_count,timestamp,hour,day_of_week,month
T33553,U6437,PayU,Credit Card,North,Android,278.44,Success,1,0,353.46,0,2025-06-05 12:40:29,12,Thursday,6
T09427,U2160,PayU,Wallet,North,iOS,7337.51,Success,1,0,384.0,0,2025-05-25 00:22:41,0,Sunday,5
T00199,U6178,Cashfree,Wallet,West,Android,6028.73,Success,1,0,497.67,0,2025-03-19 00:29:33,0,Wednesday,3
T12447,U9563,PayU,Debit Card,North,iOS,2745.98,Success,1,0,326.57,0,2025-02-02 07:01:55,7,Sunday,2
T39489,U4017,Razorpay,UPI,North,Android,9556.04,Success,1,0,668.93,0,2025-05-27 13:56:44,13,Tuesday,5
T42724,U8241,Stripe,UPI,West,iOS,7166.0,Failed,0,0,226.04,2,2025-02-08 16:52:33,16,Saturday,2
T10822,U9277,Stripe,Netbanking,West,Desktop,6959.69,Success,1,0,326.5,0,2025-03-14 00:29:11,0,Friday,3
T49498,U9329,Razorpay,Debit Card,East,Desktop,2427.19,Success,1,0,500.47,0,2025-05-03 02:36:19,2,Saturday,5
T04144,U8250,Razorpay,Netbanking,South,iOS,3341.56,Success,1,0,295.08,0,2025-03-30 00:32:55,0,Sunday,3
T36958,U6061,Razorpay,Netbanking,West,Desktop,9774.93,Success,1,0,354.56,0,2025-02-23 09:40:29,9,Sunday,2
T43106,U4948,Cashfree,Debit Card,East,Android,2929.07,Failed,0,0,307.31,0,2025-02-14 14:49:02,14,Friday,2
T38695,U7300,Stripe,Netbanking,South,Android,328.62,Success,1,0,265.52,0,2025-02-12 21:43:27,21,Wednesday,2
T06188,U1773,Razorpay,Credit Card,East,iOS,8309.98,Success,1,0,316.88,0,2025-04-13 00:42:40,0,Sunday,4
T01414,U1451,Razorpay,Debit Card,East,iOS,8605.76,Failed,0,0,350.14,1,2025-05-19 08:26:30,8,Monday,5
T18471,U4761,Cashfree,Wallet,West,Desktop,7261.86,Success,1,0,435.11,0,2025-03-22 13:20:31,13,Saturday,3
T29282,U3030,Razorpay,Wallet,West,Desktop,4882.37,Success,1,0,351.01,0,2025-06-09 11:18:13,11,Monday,6
T15177,U6391,PayU,Credit Card,West,Android,6733.95,Success,1,0,319.73,0,2025-02-24 02:32:34,2,Monday,2
T34304,U9263,Razorpay,Netbanking,West,Desktop,2625.15,Success,1,0,514.39,0,2025-03-07 08:40:43,8,Friday,3
T12609,U9935,PayU,Debit Card,East,iOS,5529.52,Success,1,0,349.01,0,2025-02-20 04:58:50,4,Thursday,2
T12144,U5074,Stripe,Debit Card,South,Desktop,3215.4,Success,1,0,362.66,0,2025-02-24 09:49:46,9,Monday,2
T06113,U6897,Stripe,UPI,South,Android,5682.22,Success,1,0,410.9,0,2025-07-13 02:58:03,2,Sunday,7
T15908,U2397,Razorpay,Wallet,East,Desktop,2948.71,Success,1,0,432.83,0,2025-01-29 07:29:31,7,Wednesday,1
T00821,U1784,Razorpay,Wallet,West,Desktop,4346.92,Success,1,0,224.57,0,2025-05-16 07:35:45,7,Friday,5
T15118,U7778,Cashfree,Wallet,North,iOS,8367.8,Success,1,0,280.0,0,2025-07-19 21:09:20,21,Saturday,7
T13466,U8099,Cashfree,Debit Card,South,iOS,4216.01,Success,1,0,248.76,0,2025-04-19 09:36:16,9,Saturday,4
T26497,U3923,Stripe,Netbanking,West,Android,1173.06,Success,1,0,409.16,0,2025-04-16 13:51:25,13,Wednesday,4
T42111,U6361,Razorpay,Wallet,East,iOS,3160.25,Success,1,0,314.41,0,2025-05-27 07:39:38,7,Tuesday,5
T30188,U7184,PayU,Debit Card,South,iOS,4032.72,Success,1,0,530.35,0,2025-04-01 21:41:04,21,Tuesday,4
T37237,U2741,Stripe,Netbanking,West,Desktop,6389.62,Success,1,0,259.55,0,2025-06-02 04:06:25,4,Monday,6
T33109,U8278,PayU,Credit Card,East,Desktop,8193.13,Failed,0,0,408.24,0,2025-05-09 06:09:44,6,Friday,5
T36480,U5002,Cashfree,Debit Card,South,Desktop,8650.98,Success,1,0,483.95,0,2025-05-04 06:15:26,6,Sunday,5
T24148,U3052,PayU,UPI,East,Android,7409.86,Success,1,0,106.16,0,2025-06-13 08:42:21,8,Friday,6
T05503,U4717,Cashfree,Debit Card,East,Desktop,7749.5,Success,1,0,128.24,0,2025-01-24 15:12:59,15,Friday,1
